437,40,10,0,231,231,284,285,21,20
447,-6,3,436,40,10,0,231,231,285,285,21,21
451,-8,4,437,40,10,0,231,231,284,285,21,21
450,-8,4,437,40,10,0,231,231,286,285,22,21
451,-9,4,438,40,10,0,231,231,286,285,22,21
450,-7,5,439,40,10,0,231,231,289,285,23,21
451,-10,1,439,40,10,0,232,231,285,285,21,21
448,-7,0,438,40,10,0,231,231,284,285,20,21
452,-5,1,438,40,10,0,231,231,284,285,20,21
453,-9,4,438,40,10,0,231,231,285,285,20,21
453,-5,0,437,40,10,0,231,231,285,285,22,21
451,-10,2,437,40,10,0,232,231,285,285,24,21
446,-7,4,437,40,10,0,231,231,285,285,22,22
451,-4,1,437,40,10,0,231,231,284,285,23,22
450,-4,-1,437,40,10,0,231,231,284,285,22,22
449,-1,-2,438,40,10,0,231,231,284,285,22,22
448,-6,-1,438,40,10,0,231,231,285,285,20,22
450,-7,0,438,40,10,0,231,231,285,285,20,22
451,-2,-2,438,40,10,0,231,231,285,285,20,22
450,450,-8,-4,438,40,10,0,231,231,285,285,22,22
448,-5,-2,439,40,10,0,231,231,285,285,23,22
448,-3,-1,439,40,10,0,231,231,285,285,22,22
447,-4,-2,438,40,10,0,231,231,285,285,21,21
449,451,-3,-2,438,40,10,0,232,231,285,285,22,21
449,-7,5,437,40,10,0,231,231,285,285,22,21
453,-8,6,437,40,10,0,231,231,286,285,23,21
451,-7,3,438,40,10,0,231,231,285,285,24,21
452,-7,4,438,40,10,0,231,231,285,285,23,21
450,-8,2,438,40,10,0,231,231,284,285,23,21
451,-9,2,439,40,10,0,231,231,285,285,24,21
451,-11,2,439,40,10,0,231,231,285,285,23,21
448,-10,1,439,40,10,0,231,231,285,285,22,21
447,-12,0,439,40,10,0,231,231,285,285,21,21
449,-9,0,439,40,10,0,231,231,285,285,21,21
451,-9,-1,440,40,10,0,231,231,284,285,21,21
450,-10,-1,440,40,10,0,231,231,285,285,21,21
447,-10,-1,440,40,10,0,231,231,285,285,23,21
448,-14,-2,440,40,10,0,233,231,285,285,23,21
447,-12,-2,440,40,10,0,231,231,284,285,21,21
446,-14,-3,440,40,10,0,231,231,285,285,21,21
446,-15,-1,441,40,10,0,231,231,284,285,20,21
447,-17,-4,441,40,10,0,231,231,286,285,20,21
446,-17,-5,441,40,10,0,231,231,286,285,23,21
444,449,-19,1,441,40,10,0,232,232,285,285,24,24
449,-20,0,441,40,10,0,231,232,285,285,22,24
451,-15,-1,441,40,10,0,231,232,285,285,22,24
449,-15,0,440,40,10,0,231,232,285,285,22,24
451,-9,-3,441,40,10,0,231,232,284,285,21,24
448,-12,-3,441,40,10,0,231,232,282,285,21,24
446,-8,-4,441,40,10,0,231,232,285,285,20,24
449,-11,-4,442,40,10,0,231,232,285,285,20,24
447,-13,-3,443,40,10,0,231,232,285,285,20,24
446,-3,-2,443,40,10,0,231,232,285,285,21,24
446,-9,0,443,40,10,0,231,231,286,286,21,21
450,-9,1,444,40,10,0,231,231,286,286,20,21
452,-8,0,443,40,10,0,231,231,285,286,20,21
451,452,-9,-1,442,40,10,0,232,231,286,286,24,21
448,-8,-3,443,40,10,0,231,231,285,286,22,21
449,-11,1,443,40,10,0,231,231,285,286,24,21
448,-9,0,444,40,10,0,231,231,284,286,21,21
451,-11,2,444,40,10,0,231,231,285,286,22,21
448,-10,3,444,40,10,0,231,231,285,286,25,21
449,-9,0,444,40,10,0,231,231,285,286,24,21
449,-6,2,444,40,10,0,231,231,285,285,23,23
450,-6,1,444,40,10,0,231,231,284,285,22,23
453,-11,6,443,40,10,0,231,231,285,285,21,23
451,-6,3,444,40,10,0,231,231,285,285,21,23
451,448,-10,3,444,40,10,0,231,231,285,285,24,23
448,448,-14,2,445,40,10,0,232,231,285,285,21,23
448,-14,0,445,40,10,0,232,231,285,285,20,23
449,-15,4,444,40,10,0,231,231,285,285,20,23
450,-14,4,444,40,10,0,231,231,285,285,21,23
448,-6,4,444,40,10,0,231,231,285,285,22,22
451,-7,4,444,40,10,0,232,231,286,285,27,22
452,-9,4,443,40,10,0,232,231,285,285,22,22
450,-9,5,444,40,10,0,231,231,284,285,21,22
451,-8,6,443,40,10,0,231,231,285,285,23,22
451,-7,5,443,40,10,0,231,231,284,285,22,22
451,-8,7,444,40,10,0,231,231,285,285,21,22
450,-1,6,444,40,10,0,231,231,285,285,20,22
450,-2,5,444,40,10,0,231,231,284,285,20,22
452,-3,7,444,40,10,0,231,231,285,285,21,22
